folio	date	hora_apertura	close_time	mesa	server_id	mesero_nombre	guests	turno	vta_comida	beverage_subtotal	descuento	comp	cancelado	subtotal	iva	total	propina	cash	tarjeta	forma_pago	store_id	tipo_servicio	descripcion_producto
CHQ-FRMX-TV-GDL-001-20240206-0240	2024-02-06	8:10	23:16	1	MES-015	Sofía Reyes Morales	2	morning	546	182	29.12	0	0	728	111.82	810.7	97.84	0	810.7	tarjeta	FRMX-TV-GDL-001	express	tacos_pastor
CHQ-FRMX-CD-CDMX-001-20240207-0241	2024-02-07	16:24	8:36	23	MES-009	Diego Vázquez Castillo	4	morning	364.5	121.5	0	0	9.72	486	76.2	552.48	66.68	0	552.48	tarjeta	FRMX-CD-CDMX-001	dine_in	tacos_pastor
CHQ-FRMX-TV-CDMX-001-20240208-0242	2024-02-08	17:43	20:12	11	MES-004	José Antonio López Hernández	1	afternoon	310.5	103.5	0	0	8.28	414	64.92	470.64	56.8	0	470.64	tarjeta	FRMX-TV-CDMX-001	express	Orden Tacos Pastor
CHQ-FRMX-MB-CDMX-001-20240209-0243	2024-02-09	16:52	14:15	14	MES-035	Pablo Mendoza Romero	1	morning	333	111	17.76	6.66	8.88	444	65.71	476.41	57.5	0	476.41	tarjeta	FRMX-MB-CDMX-001	dine_in	TACOS PASTOR
CHQ-FRMX-CD-MTY-001-20240210-0244	2024-02-10	8:40	15:59	23	MES-010	Luis Ramírez Torres	4	morning	110.25	36.75	0	0	2.94	147	23.05	167.11	20.17	167.11	0	efectivo	FRMX-CD-MTY-001	dine_in	Pescado Zarandeado
CHQ-FRMX-TV-GDL-001-20240211-0245	2024-02-11	21:10	11:13	1	MES-009	Sofía Reyes Morales	1	night	154.5	51.5	0	0	4.12	206	32.3	234.18	28.26	0	234.18	tarjeta	FRMX-TV-GDL-001	express	margarita clasica
CHQ-FRMX-CD-CDMX-001-20240205-0246	2024-02-05	18:52	8:40	17	MES-019	Diego Vázquez Castillo	1	afternoon	478.5	159.5	25.52	0	12.76	638	95.96	695.68	83.96	0	695.68	tarjeta	FRMX-CD-CDMX-001	dine_in	Margarita
CHQ-FRMX-TV-CDMX-001-20240206-0247	2024-02-06	16:39	12:10	9	MES-032	José Antonio López Hernández	4	afternoon	246	82	0	0	0	328	52.48	380.48	45.92	0	380.48	tarjeta	FRMX-TV-CDMX-001	express	CORONA 355ML
CHQ-FRMX-MB-CDMX-001-20240207-0248	2024-02-07	16:00	21:13	22	MES-038	Pablo Mendoza Romero	4	morning	425.25	141.75	0	8.5	11.34	567	87.55	634.71	76.6	0	634.71	tarjeta	FRMX-MB-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-CD-MTY-001-20240208-0249	2024-02-08	18:38	16:32	1	MES-016	Pablo Mendoza Romero	4	night	569.25	189.75	30.36	11.39	15.18	759	112.33	814.4	98.29	0	814.4	tarjeta	FRMX-CD-MTY-001	dine_in	Taco al Pastor
CHQ-FRMX-TV-GDL-001-20240209-0250	2024-02-09	8:17	22:07	27	MES-023	Sofía Reyes Morales	3	night	433.5	144.5	23.12	8.67	11.56	578	85.54	620.19	74.85	0	620.19	tarjeta	FRMX-TV-GDL-001	express	Cerveza Corona
CHQ-FRMX-CD-CDMX-001-20240210-0251	2024-02-10	16:28	10:12	21	MES-006	Sofía Reyes Morales	3	morning	614.25	204.75	0	0	16.38	819	128.42	931.04	112.37	0	931.04	tarjeta	FRMX-CD-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-TV-CDMX-001-20240211-0252	2024-02-11	19:18	20:16	17	MES-001	Luis Ramírez Torres	3	morning	363	121	19.36	0	9.68	484	72.79	527.75	63.69	0	527.75	tarjeta	FRMX-TV-CDMX-001	express	PESC ZARAND
CHQ-FRMX-MB-CDMX-001-20240205-0253	2024-02-05	13:49	10:36	7	MES-024	Luis Ramírez Torres	4	afternoon	161.25	53.75	0	0	4.3	215	33.71	244.41	29.5	0	244.41	tarjeta	FRMX-MB-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-CD-MTY-001-20240206-0254	2024-02-06	7:46	17:10	19	MES-017	Luis Ramírez Torres	1	afternoon	558	186	0	0	14.88	744	116.66	845.78	102.08	0	845.78	tarjeta	FRMX-CD-MTY-001	dine_in	Orden Tacos Pastor
CHQ-FRMX-TV-GDL-001-20240207-0255	2024-02-07	22:24	16:01	27	MES-013	Luis Ramírez Torres	4	night	432.75	144.25	0	0	0	577	92.32	669.32	80.78	0	669.32	tarjeta	FRMX-TV-GDL-001	express	Margarita
CHQ-FRMX-CD-CDMX-001-20240208-0256	2024-02-08	21:36	23:49	17	MES-039	Luis Ramírez Torres	2	morning	623.25	207.75	0	12.47	16.62	831	128.31	930.22	112.27	0	930.22	tarjeta	FRMX-CD-CDMX-001	dine_in	Cerveza Corona
CHQ-FRMX-TV-CDMX-001-20240209-0257	2024-02-09	18:18	19:04	3	MES-010	José Antonio López Hernández	3	night	258	86	13.76	0	0	344	52.84	383.08	46.23	0	383.08	tarjeta	FRMX-TV-CDMX-001	express	Margarita
CHQ-FRMX-MB-CDMX-001-20240210-0258	2024-02-10	18:29	8:43	3	MES-003	Diego Vázquez Castillo	4	morning	224.25	74.75	11.96	0	5.98	299	44.97	326.03	39.35	0	326.03	tarjeta	FRMX-MB-CDMX-001	dine_in	tacos_pastor
CHQ-FRMX-CD-MTY-001-20240211-0259	2024-02-11	12:16	11:42	8	MES-032	José Antonio López Hernández	4	afternoon	598.5	199.5	31.92	0	15.96	798	120.02	870.14	105.02	870.14	0	efectivo	FRMX-CD-MTY-001	dine_in	margarita clasica
CHQ-FRMX-TV-GDL-001-20240205-0260	2024-02-05	17:12	20:55	27	MES-032	María Elena Gutiérrez Flores	1	night	525.75	175.25	28.04	0	0	701	107.67	780.63	94.21	780.63	0	efectivo	FRMX-TV-GDL-001	express	tacos_pastor
CHQ-FRMX-CD-CDMX-001-20240206-0261	2024-02-06	15:09	8:08	17	MES-002	Luis Ramírez Torres	1	morning	559.5	186.5	0	0	0	746	119.36	865.36	104.44	0	865.36	tarjeta	FRMX-CD-CDMX-001	dine_in	Taco al Pastor
CHQ-FRMX-TV-CDMX-001-20240207-0262	2024-02-07	15:03	18:43	3	MES-007	Diego Vázquez Castillo	2	night	94.5	31.5	5.04	0	2.52	126	18.95	137.39	16.58	0	137.39	tarjeta	FRMX-TV-CDMX-001	express	Taco al Pastor
CHQ-FRMX-MB-CDMX-001-20240208-0263	2024-02-08	16:37	22:20	6	MES-036	Luis Ramírez Torres	1	morning	587.25	195.75	0	0	15.66	783	122.77	890.11	107.43	0	890.11	tarjeta	FRMX-MB-CDMX-001	dine_in	tacos_pastor
CHQ-FRMX-CD-MTY-001-20240209-0264	2024-02-09	17:58	13:29	5	MES-006	Carmen Jiménez Ortiz	4	night	288	96	15.36	0	0	384	58.98	427.62	51.61	0	427.62	tarjeta	FRMX-CD-MTY-001	dine_in	Pescado Zarandeado
CHQ-FRMX-TV-GDL-001-20240210-0265	2024-02-10	11:22	17:29	10	MES-015	Pablo Mendoza Romero	3	afternoon	236.25	78.75	0	4.72	0	315	49.64	359.92	43.44	0	359.92	tarjeta	FRMX-TV-GDL-001	express	PESC ZARAND
CHQ-FRMX-CD-CDMX-001-20240211-0266	2024-02-11	7:11	10:24	4	MES-002	Pablo Mendoza Romero	1	morning	622.5	207.5	0	12.45	0	830	130.81	948.36	114.46	0	948.36	tarjeta	FRMX-CD-CDMX-001	dine_in	Orden Tacos Pastor
CHQ-FRMX-TV-CDMX-001-20240205-0267	2024-02-05	15:33	9:17	20	MES-037	Carmen Jiménez Ortiz	1	night	387	129	20.64	7.74	0	516	78.02	565.64	68.27	0	565.64	tarjeta	FRMX-TV-CDMX-001	express	Orden Tacos Pastor
CHQ-FRMX-MB-CDMX-001-20240206-0268	2024-02-06	21:01	11:56	19	MES-019	Carmen Jiménez Ortiz	4	night	628.5	209.5	0	0	16.76	838	131.4	952.64	114.97	0	952.64	tarjeta	FRMX-MB-CDMX-001	dine_in	margarita clasica
CHQ-FRMX-CD-MTY-001-20240207-0269	2024-02-07	20:53	22:20	23	MES-008	Carmen Jiménez Ortiz	1	afternoon	578.25	192.75	0	0	0	771	123.36	894.36	107.94	0	894.36	tarjeta	FRMX-CD-MTY-001	dine_in	Orden Tacos Pastor
CHQ-FRMX-TV-GDL-001-20240208-0270	2024-02-08	9:27	11:33	28	MES-008	Diego Vázquez Castillo	2	morning	345.75	115.25	18.44	0	9.22	461	69.33	502.67	60.67	0	502.67	tarjeta	FRMX-TV-GDL-001	express	Orden Tacos Pastor
CHQ-FRMX-CD-CDMX-001-20240209-0271	2024-02-09	16:23	12:09	2	MES-002	Diego Vázquez Castillo	1	morning	589.5	196.5	31.44	0	15.72	786	118.21	857.05	103.44	857.05	0	efectivo	FRMX-CD-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-TV-CDMX-001-20240210-0272	2024-02-10	9:45	8:40	12	MES-035	Sofía Reyes Morales	2	morning	450	150	0	9	12	600	92.64	671.64	81.06	0	671.64	tarjeta	FRMX-TV-CDMX-001	express	tacos_pastor
CHQ-FRMX-MB-CDMX-001-20240211-0273	2024-02-11	7:09	16:14	21	MES-005	Sofía Reyes Morales	1	night	674.25	224.75	0	0	17.98	899	140.96	1021.98	123.34	0	1021.98	tarjeta	FRMX-MB-CDMX-001	dine_in	TACOS PASTOR
CHQ-FRMX-CD-MTY-001-20240205-0274	2024-02-05	17:30	19:43	18	MES-022	José Antonio López Hernández	3	night	105	35	5.6	2.1	2.8	140	20.72	150.22	18.13	0	150.22	tarjeta	FRMX-CD-MTY-001	dine_in	PESC ZARAND
CHQ-FRMX-TV-GDL-001-20240206-0275	2024-02-06	22:14	23:17	20	MES-023	Carmen Jiménez Ortiz	1	night	110.25	36.75	0	2.21	0	147	23.17	167.96	20.27	167.96	0	efectivo	FRMX-TV-GDL-001	express	Pescado Zarandeado
CHQ-FRMX-CD-CDMX-001-20240207-0276	2024-02-07	17:31	11:29	29	MES-023	María Elena Gutiérrez Flores	2	afternoon	541.5	180.5	0	0	14.44	722	113.21	820.77	99.06	820.77	0	efectivo	FRMX-CD-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-TV-CDMX-001-20240208-0277	2024-02-08	17:44	9:02	21	MES-033	Sofía Reyes Morales	1	morning	626.25	208.75	0	12.53	0	835	131.6	954.07	115.15	0	954.07	tarjeta	FRMX-TV-CDMX-001	express	PESC ZARAND
CHQ-FRMX-MB-CDMX-001-20240209-0278	2024-02-09	17:44	8:47	14	MES-002	Carmen Jiménez Ortiz	4	afternoon	668.25	222.75	35.64	0	0	891	136.86	992.22	119.75	992.22	0	efectivo	FRMX-MB-CDMX-001	dine_in	Orden Tacos Pastor
CHQ-FRMX-CD-MTY-001-20240210-0279	2024-02-10	16:06	11:45	2	MES-005	José Antonio López Hernández	4	night	534.75	178.25	0	0	14.26	713	111.8	810.54	97.82	0	810.54	tarjeta	FRMX-CD-MTY-001	dine_in	TACOS PASTOR
CHQ-FRMX-TV-GDL-001-20240211-0280	2024-02-11	12:07	9:13	15	MES-009	José Antonio López Hernández	2	afternoon	283.5	94.5	0	5.67	7.56	378	58.36	423.13	51.07	423.13	0	efectivo	FRMX-TV-GDL-001	express	Orden Tacos Pastor
CHQ-FRMX-CD-CDMX-001-20240205-0281	2024-02-05	7:24	12:29	20	MES-012	Luis Ramírez Torres	3	night	565.5	188.5	0	0	15.08	754	118.23	857.15	103.45	857.15	0	efectivo	FRMX-CD-CDMX-001	dine_in	margarita clasica
CHQ-FRMX-TV-CDMX-001-20240206-0282	2024-02-06	21:16	20:54	27	MES-012	Carmen Jiménez Ortiz	1	afternoon	178.5	59.5	9.52	0	4.76	238	35.8	259.52	31.32	259.52	0	efectivo	FRMX-TV-CDMX-001	express	Margarita
CHQ-FRMX-MB-CDMX-001-20240207-0283	2024-02-07	16:13	12:33	6	MES-037	María Elena Gutiérrez Flores	1	morning	461.25	153.75	24.6	0	0	615	94.46	684.86	82.66	0	684.86	tarjeta	FRMX-MB-CDMX-001	dine_in	margarita clasica
CHQ-FRMX-CD-MTY-001-20240208-0284	2024-02-08	10:02	15:08	6	MES-019	Carmen Jiménez Ortiz	3	afternoon	287.25	95.75	0	0	0	383	61.28	444.28	53.62	444.28	0	efectivo	FRMX-CD-MTY-001	dine_in	Margarita
CHQ-FRMX-TV-GDL-001-20240209-0285	2024-02-09	17:49	11:16	23	MES-015	María Elena Gutiérrez Flores	3	morning	297.75	99.25	0	0	0	397	63.52	460.52	55.58	0	460.52	tarjeta	FRMX-TV-GDL-001	express	tacos_pastor
CHQ-FRMX-CD-CDMX-001-20240210-0286	2024-02-10	11:41	15:46	12	MES-014	José Antonio López Hernández	2	morning	298.5	99.5	0	0	7.96	398	62.41	452.45	54.61	0	452.45	tarjeta	FRMX-CD-CDMX-001	dine_in	margarita clasica
CHQ-FRMX-TV-CDMX-001-20240211-0287	2024-02-11	11:40	22:51	3	MES-005	Sofía Reyes Morales	3	afternoon	261	87	0	0	6.96	348	54.57	395.61	47.75	0	395.61	tarjeta	FRMX-TV-CDMX-001	express	Margarita
CHQ-FRMX-MB-CDMX-001-20240205-0288	2024-02-05	12:15	15:56	29	MES-006	María Elena Gutiérrez Flores	4	morning	578.25	192.75	30.84	0	15.42	771	115.96	840.7	101.46	840.7	0	efectivo	FRMX-MB-CDMX-001	dine_in	Taco al Pastor
CHQ-FRMX-CD-MTY-001-20240206-0289	2024-02-06	22:30	10:10	1	MES-009	Ana Cruz Martínez	3	morning	442.5	147.5	0	0	0	590	94.4	684.4	82.6	684.4	0	efectivo	FRMX-CD-MTY-001	dine_in	Pescado Zarandeado
CHQ-FRMX-TV-GDL-001-20240207-0290	2024-02-07	19:52	16:14	5	MES-040	Diego Vázquez Castillo	4	morning	220.5	73.5	11.76	0	5.88	294	44.22	320.58	38.69	320.58	0	efectivo	FRMX-TV-GDL-001	express	PESC ZARAND
CHQ-FRMX-CD-CDMX-001-20240208-0291	2024-02-08	12:15	11:28	3	MES-004	Pablo Mendoza Romero	1	night	330.75	110.25	17.64	0	8.82	441	66.33	480.87	58.04	480.87	0	efectivo	FRMX-CD-CDMX-001	dine_in	PESC ZARAND
CHQ-FRMX-TV-CDMX-001-20240209-0292	2024-02-09	18:43	21:20	9	MES-027	Sofía Reyes Morales	2	morning	522.75	174.25	0	0	0	697	111.52	808.52	97.58	808.52	0	efectivo	FRMX-TV-CDMX-001	express	Cerveza Corona
CHQ-FRMX-MB-CDMX-001-20240210-0293	2024-02-10	16:05	21:01	27	MES-027	Pablo Mendoza Romero	3	night	233.25	77.75	0	0	0	311	49.76	360.76	43.54	0	360.76	tarjeta	FRMX-MB-CDMX-001	dine_in	Cerveza Corona
CHQ-FRMX-CD-MTY-001-20240211-0294	2024-02-11	13:09	9:00	6	MES-001	María Elena Gutiérrez Flores	3	night	604.5	201.5	32.24	12.09	0	806	121.87	883.54	106.63	0	883.54	tarjeta	FRMX-CD-MTY-001	dine_in	margarita clasica
CHQ-FRMX-TV-GDL-001-20240205-0295	2024-02-05	16:31	9:46	24	MES-039	Carmen Jiménez Ortiz	1	morning	663.75	221.25	0	0	0	885	141.6	1026.6	123.9	0	1026.6	tarjeta	FRMX-TV-GDL-001	express	Margarita
CHQ-FRMX-CD-CDMX-001-20240206-0296	2024-02-06	15:59	9:34	19	MES-002	Pablo Mendoza Romero	1	afternoon	362.25	120.75	19.32	0	0	483	74.19	537.87	64.92	537.87	0	efectivo	FRMX-CD-CDMX-001	dine_in	Orden Tacos Pastor
CHQ-FRMX-TV-CDMX-001-20240207-0297	2024-02-07	19:38	19:36	7	MES-020	Sofía Reyes Morales	4	night	155.25	51.75	0	0	4.14	207	32.46	235.32	28.4	0	235.32	tarjeta	FRMX-TV-CDMX-001	express	CORONA 355ML
CHQ-FRMX-MB-CDMX-001-20240208-0298	2024-02-08	15:12	20:19	23	MES-006	Diego Vázquez Castillo	1	morning	411	137	21.92	0	10.96	548	82.42	597.54	72.12	597.54	0	efectivo	FRMX-MB-CDMX-001	dine_in	tacos_pastor
CHQ-FRMX-CD-MTY-001-20240209-0299	2024-02-09	22:18	22:51	25	MES-024	Luis Ramírez Torres	3	morning	339	113	0	0	0	452	72.32	524.32	63.28	0	524.32	tarjeta	FRMX-CD-MTY-001	dine_in	Margarita
CHQ-FRMX-TV-GDL-001-20240210-0300	2024-02-10	19:41	19:19	1	MES-025	Luis Ramírez Torres	2	afternoon	288	96	0	5.76	0	384	60.52	438.76	52.95	0	438.76	tarjeta	FRMX-TV-GDL-001	express	Orden Tacos Pastor
CHQ-FRMX-CD-CDMX-001-20240211-0301	2024-02-11	13:49	21:20	21	MES-026	Ana Cruz Martínez	1	morning	205.5	68.5	10.96	0	0	274	42.09	305.13	36.83	305.13	0	efectivo	FRMX-CD-CDMX-001	dine_in	Taco al Pastor
CHQ-FRMX-TV-CDMX-001-20240205-0302	2024-02-05	17:37	20:01	7	MES-037	Luis Ramírez Torres	2	afternoon	205.5	68.5	10.96	4.11	5.48	274	40.55	294	35.48	0	294	tarjeta	FRMX-TV-CDMX-001	express	Orden Tacos Pastor
CHQ-FRMX-MB-CDMX-001-20240206-0303	2024-02-06	9:57	19:37	25	MES-018	Ana Cruz Martínez	4	night	361.5	120.5	19.28	0	0	482	74.04	536.76	64.78	0	536.76	tarjeta	FRMX-MB-CDMX-001	dine_in	Orden Tacos Pastor
CHQ-FRMX-CD-MTY-001-20240207-0304	2024-02-07	9:51	21:00	24	MES-023	Carmen Jiménez Ortiz	3	night	161.25	53.75	0	0	0	215	34.4	249.4	30.1	249.4	0	efectivo	FRMX-CD-MTY-001	dine_in	CORONA 355ML
CHQ-FRMX-TV-GDL-001-20240208-0305	2024-02-08	22:06	14:45	2	MES-002	José Antonio López Hernández	4	morning	484.5	161.5	0	0	12.92	646	101.29	734.37	88.63	0	734.37	tarjeta	FRMX-TV-GDL-001	express	margarita clasica
CHQ-FRMX-CD-CDMX-001-20240209-0306	2024-02-09	16:10	9:00	12	MES-033	Sofía Reyes Morales	2	morning	458.25	152.75	0	0	0	611	97.76	708.76	85.54	708.76	0	efectivo	FRMX-CD-CDMX-001	dine_in	Taco al Pastor
CHQ-FRMX-TV-CDMX-001-20240210-0307	2024-02-10	15:33	11:01	19	MES-010	María Elena Gutiérrez Flores	1	morning	546	182	29.12	0	0	728	111.82	810.7	97.84	810.7	0	efectivo	FRMX-TV-CDMX-001	express	margarita clasica
CHQ-FRMX-MB-CDMX-001-20240211-0308	2024-02-11	7:55	23:11	17	MES-024	María Elena Gutiérrez Flores	3	afternoon	198.75	66.25	0	0	0	265	42.4	307.4	37.1	0	307.4	tarjeta	FRMX-MB-CDMX-001	dine_in	tacos_pastor
CHQ-FRMX-CD-MTY-001-20240205-0309	2024-02-05	18:11	19:03	29	MES-004	Sofía Reyes Morales	4	night	461.25	153.75	0	0	12.3	615	96.43	699.13	84.38	0	699.13	tarjeta	FRMX-CD-MTY-001	dine_in	Margarita
CHQ-FRMX-TV-GDL-001-20240206-0310	2024-02-06	13:59	14:07	8	MES-029	Carmen Jiménez Ortiz	3	morning	519	173	27.68	0	13.84	692	104.08	754.56	91.07	754.56	0	efectivo	FRMX-TV-GDL-001	express	Pescado Zarandeado
CHQ-FRMX-CD-CDMX-001-20240207-0311	2024-02-07	13:15	10:41	24	MES-032	José Antonio López Hernández	1	night	606	202	0	0	0	808	129.28	937.28	113.12	937.28	0	efectivo	FRMX-CD-CDMX-001	dine_in	CORONA 355ML
CHQ-FRMX-TV-CDMX-001-20240208-0312	2024-02-08	16:20	21:48	13	MES-034	José Antonio López Hernández	2	morning	156	52	0	0	4.16	208	32.61	236.45	28.54	0	236.45	tarjeta	FRMX-TV-CDMX-001	express	TACOS PASTOR
CHQ-FRMX-MB-CDMX-001-20240209-0313	2024-02-09	17:37	23:57	16	MES-012	Sofía Reyes Morales	1	night	409.5	136.5	0	8.19	10.92	546	84.3	611.19	73.76	611.19	0	efectivo	FRMX-MB-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-CD-MTY-001-20240210-0314	2024-02-10	16:21	20:14	25	MES-006	Luis Ramírez Torres	4	morning	549	183	0	10.98	14.64	732	113.02	819.4	98.89	0	819.4	tarjeta	FRMX-CD-MTY-001	dine_in	Cerveza Corona
CHQ-FRMX-TV-GDL-001-20240211-0315	2024-02-11	18:59	10:50	27	MES-025	José Antonio López Hernández	1	afternoon	545.25	181.75	0	10.91	0	727	114.57	830.66	100.25	0	830.66	tarjeta	FRMX-TV-GDL-001	express	Margarita
CHQ-FRMX-CD-CDMX-001-20240205-0316	2024-02-05	10:58	10:22	22	MES-006	José Antonio López Hernández	4	morning	558	186	0	0	14.88	744	116.66	845.78	102.08	0	845.78	tarjeta	FRMX-CD-CDMX-001	dine_in	Pescado Zarandeado
CHQ-FRMX-TV-CDMX-001-20240206-0317	2024-02-06	16:53	21:05	19	MES-021	Sofía Reyes Morales	4	morning	470.25	156.75	0	9.4	0	627	98.82	716.42	86.46	0	716.42	tarjeta	FRMX-TV-CDMX-001	express	Pescado Zarandeado
CHQ-FRMX-MB-CDMX-001-20240207-0318	2024-02-07	9:42	11:44	23	MES-001	Diego Vázquez Castillo	1	morning	660.75	220.25	0	0	17.62	881	138.14	1001.52	120.87	1001.52	0	efectivo	FRMX-MB-CDMX-001	dine_in	margarita clasica
CHQ-FRMX-CD-MTY-001-20240208-0319	2024-02-08	18:08	20:47	7	MES-025	Diego Vázquez Castillo	3	morning	258.75	86.25	13.8	0	0	345	52.99	384.19	46.37	384.19	0	efectivo	FRMX-CD-MTY-001	dine_in	tacos_pastor
CHQ-FRMX-TV-GDL-001-20240209-0320	2024-02-09	9:37	16:10	11	MES-033	José Antonio López Hernández	2	morning	289.5	96.5	0	5.79	0	386	60.83	441.04	53.23	441.04	0	efectivo	FRMX-TV-GDL-001	express	margarita clasica
CHQ-FRMX-CD-CDMX-001-20240210-0321	2024-02-10	13:47	22:14	4	MES-004	Carmen Jiménez Ortiz	3	afternoon	555	185	29.6	0	0	740	113.66	824.06	99.46	0	824.06	tarjeta	FRMX-CD-CDMX-001	dine_in	CORONA 355ML
CHQ-FRMX-TV-CDMX-001-20240211-0322	2024-02-11	10:04	14:43	27	MES-037	Sofía Reyes Morales	2	morning	441	147	23.52	0	0	588	90.32	654.8	79.03	0	654.8	tarjeta	FRMX-TV-CDMX-001	express	Cerveza Corona
CHQ-FRMX-MB-CDMX-001-20240205-0323	2024-02-05	7:28	20:55	2	MES-011	Luis Ramírez Torres	1	afternoon	171	57	0	0	0	228	36.48	264.48	31.92	0	264.48	tarjeta	FRMX-MB-CDMX-001	dine_in	CORONA 355ML
CHQ-FRMX-CD-MTY-001-20240206-0324	2024-02-06	15:30	19:29	23	MES-019	María Elena Gutiérrez Flores	2	morning	234	78	0	0	6.24	312	48.92	354.68	42.81	0	354.68	tarjeta	FRMX-CD-MTY-001	dine_in	CORONA 355ML
CHQ-FRMX-TV-GDL-001-20240207-0325	2024-02-07	13:47	10:19	23	MES-002	María Elena Gutiérrez Flores	4	morning	339	113	0	0	0	452	72.32	524.32	63.28	0	524.32	tarjeta	FRMX-TV-GDL-001	express	margarita clasica
CHQ-FRMX-CD-CDMX-001-20240208-0326	2024-02-08	9:09	15:49	15	MES-003	Diego Vázquez Castillo	3	morning	426	142	22.72	8.52	11.36	568	84.06	609.46	73.56	0	609.46	tarjeta	FRMX-CD-CDMX-001	dine_in	Margarita
CHQ-FRMX-TV-CDMX-001-20240209-0327	2024-02-09	9:02	17:40	5	MES-020	Ana Cruz Martínez	2	afternoon	188.25	62.75	10.04	3.76	5.02	251	37.15	269.33	32.51	269.33	0	efectivo	FRMX-TV-CDMX-001	express	CORONA 355ML
CHQ-FRMX-MB-CDMX-001-20240210-0328	2024-02-10	14:21	22:00	20	MES-011	Luis Ramírez Torres	3	afternoon	552.75	184.25	29.48	0	14.74	737	110.84	803.62	96.99	0	803.62	tarjeta	FRMX-MB-CDMX-001	dine_in	Taco al Pastor
CHQ-FRMX-CD-MTY-001-20240211-0329	2024-02-11	7:30	13:11	9	MES-003	Diego Vázquez Castillo	1	night	524.25	174.75	0	0	13.98	699	109.6	794.62	95.9	0	794.62	tarjeta	FRMX-CD-MTY-001	dine_in	Pescado Zarandeado
CHQ-FRMX-TV-GDL-001-20240205-0330	2024-02-05	10:38	9:18	12	MES-014	Carmen Jiménez Ortiz	4	morning	195.75	65.25	0	3.92	5.22	261	40.3	292.16	35.26	0	292.16	tarjeta	FRMX-TV-GDL-001	express	Cerveza Corona
CHQ-FRMX-CD-CDMX-001-20240206-0331	2024-02-06	19:24	11:51	15	MES-011	Ana Cruz Martínez	1	morning	252.75	84.25	0	5.06	6.74	337	52.03	377.23	45.53	377.23	0	efectivo	FRMX-CD-CDMX-001	dine_in	PESC ZARAND
CHQ-FRMX-TV-CDMX-001-20240207-0332	2024-02-07	21:40	13:16	20	MES-032	Diego Vázquez Castillo	2	morning	405	135	21.6	8.1	0	540	81.65	591.95	71.44	591.95	0	efectivo	FRMX-TV-CDMX-001	express	Pescado Zarandeado
CHQ-FRMX-MB-CDMX-001-20240208-0333	2024-02-08	15:44	8:01	4	MES-015	Diego Vázquez Castillo	1	morning	216	72	0	4.32	0	288	45.39	329.07	39.72	0	329.07	tarjeta	FRMX-MB-CDMX-001	dine_in	PESC ZARAND
CHQ-FRMX-CD-MTY-001-20240209-0334	2024-02-09	17:26	22:51	27	MES-017	José Antonio López Hernández	3	night	243	81	0	0	6.48	324	50.8	368.32	44.45	0	368.32	tarjeta	FRMX-CD-MTY-001	dine_in	TACOS PASTOR
CHQ-FRMX-TV-GDL-001-20240210-0335	2024-02-10	10:40	16:34	18	MES-011	Luis Ramírez Torres	2	afternoon	666	222	0	0	0	888	142.08	1030.08	124.32	1030.08	0	efectivo	FRMX-TV-GDL-001	express	Pescado Zarandeado
CHQ-FRMX-CD-CDMX-001-20240211-0336	2024-02-11	9:08	23:27	30	MES-026	María Elena Gutiérrez Flores	4	afternoon	286.5	95.5	15.28	0	7.64	382	57.45	416.53	50.27	0	416.53	tarjeta	FRMX-CD-CDMX-001	dine_in	TACOS PASTOR
CHQ-FRMX-TV-CDMX-001-20240205-0337	2024-02-05	8:31	22:30	14	MES-031	Sofía Reyes Morales	2	night	669.75	223.25	0	0	17.86	893	140.02	1015.16	122.52	0	1015.16	tarjeta	FRMX-TV-CDMX-001	express	Cerveza Corona
CHQ-FRMX-MB-CDMX-001-20240206-0338	2024-02-06	18:05	18:15	12	MES-021	Carmen Jiménez Ortiz	2	afternoon	219.75	73.25	0	4.39	5.86	293	45.24	327.99	39.59	0	327.99	tarjeta	FRMX-MB-CDMX-001	dine_in	Margarita
CHQ-FRMX-CD-MTY-001-20240207-0339	2024-02-07	22:59	19:25	4	MES-014	Carmen Jiménez Ortiz	3	afternoon	469.5	156.5	0	0	0	626	100.16	726.16	87.64	0	726.16	tarjeta	FRMX-CD-MTY-001	dine_in	PESC ZARAND
CHQ-FRMX-TV-GDL-001-20240208-0340	2024-02-08	17:15	12:07	4	MES-006	Ana Cruz Martínez	4	morning	289.5	96.5	15.44	5.79	7.72	386	57.13	414.18	49.99	414.18	0	efectivo	FRMX-TV-GDL-001	express	Orden Tacos Pastor
CHQ-FRMX-CD-CDMX-001-20240209-0341	2024-02-09	16:17	20:47	27	MES-031	Sofía Reyes Morales	3	morning	610.5	203.5	32.56	12.21	0	814	123.08	892.31	107.69	0	892.31	tarjeta	FRMX-CD-CDMX-001	dine_in	PESC ZARAND
