receipt_number	date	open_time	close_time	table	server_id	server_name	guests	shift	food_subtotal	beverage_subtotal	discount	comp	voided	subtotal	tax	total	tip	cash	card	payment_method	store_id	service_type
CHQ-FRMX-CD-MTY-001-20240130-0464	2024-01-30	14:52	12:11	4	MES-023	Diego Vázquez Castillo	3	night	664.5	221.5	35.44	13.29	0	886	133.96	971.23	117.22	971.23	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240131-0465	2024-01-31	21:52	22:53	12	MES-025	Diego Vázquez Castillo	2	night	427.5	142.5	22.8	0	11.4	570	85.73	621.53	75.01	0	621.53	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240132-0466	2024-01-32	14:07	10:42	7	MES-009	Ana Cruz Martínez	3	afternoon	97.5	32.5	0	1.95	0	130	20.49	148.54	17.93	0	148.54	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240133-0467	2024-01-33	16:43	23:11	20	MES-027	Diego Vázquez Castillo	2	morning	414.75	138.25	22.12	8.3	0	553	83.61	606.19	73.16	0	606.19	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240134-0468	2024-01-34	19:31	20:58	9	MES-019	Ana Cruz Martínez	4	night	573	191	0	0	0	764	122.24	886.24	106.96	886.24	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240135-0469	2024-01-35	9:09	22:49	14	MES-014	José Antonio López Hernández	1	night	348	116	0	0	0	464	74.24	538.24	64.96	538.24	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240129-0470	2024-01-29	7:23	23:44	14	MES-030	Diego Vázquez Castillo	3	night	480.75	160.25	25.64	0	0	641	98.46	713.82	86.15	713.82	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240130-0471	2024-01-30	13:05	17:52	10	MES-005	Diego Vázquez Castillo	1	afternoon	470.25	156.75	0	0	12.54	627	98.31	712.77	86.02	712.77	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240131-0472	2024-01-31	22:31	19:44	17	MES-001	Carmen Jiménez Ortiz	1	afternoon	216	72	0	0	0	288	46.08	334.08	40.32	0	334.08	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240132-0473	2024-01-32	15:50	9:01	13	MES-015	María Elena Gutiérrez Flores	3	afternoon	468	156	24.96	0	0	624	95.85	694.89	83.87	0	694.89	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240133-0474	2024-01-33	14:31	17:07	19	MES-004	Diego Vázquez Castillo	2	afternoon	309.75	103.25	0	0	0	413	66.08	479.08	57.82	0	479.08	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240134-0475	2024-01-34	19:14	10:38	25	MES-035	Ana Cruz Martínez	1	morning	324	108	0	0	8.64	432	67.74	491.1	59.27	0	491.1	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240135-0476	2024-01-35	16:48	15:26	20	MES-015	Diego Vázquez Castillo	3	morning	167.25	55.75	0	0	4.46	223	34.97	253.51	30.6	253.51	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240129-0477	2024-01-29	18:03	21:31	25	MES-034	Diego Vázquez Castillo	1	night	213.75	71.25	0	0	0	285	45.6	330.6	39.9	330.6	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240130-0478	2024-01-30	11:39	23:14	16	MES-032	Pablo Mendoza Romero	2	afternoon	127.5	42.5	0	0	0	170	27.2	197.2	23.8	0	197.2	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240131-0479	2024-01-31	10:26	21:20	24	MES-022	María Elena Gutiérrez Flores	3	afternoon	400.5	133.5	0	8.01	10.68	534	82.45	597.76	72.14	0	597.76	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240132-0480	2024-01-32	8:05	12:45	13	MES-019	Luis Ramírez Torres	1	night	281.25	93.75	0	0	7.5	375	58.8	426.3	51.45	0	426.3	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240133-0481	2024-01-33	21:57	11:41	26	MES-035	José Antonio López Hernández	1	afternoon	663.75	221.25	0	0	17.7	885	138.77	1006.07	121.42	0	1006.07	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240134-0482	2024-01-34	8:57	8:35	20	MES-030	Diego Vázquez Castillo	2	afternoon	420.75	140.25	0	8.41	11.22	561	86.62	627.99	75.79	0	627.99	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240135-0483	2024-01-35	14:11	18:35	29	MES-033	Sofía Reyes Morales	3	afternoon	245.25	81.75	13.08	4.91	6.54	327	48.4	350.87	42.35	0	350.87	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240129-0484	2024-01-29	20:41	12:49	8	MES-022	Pablo Mendoza Romero	2	afternoon	626.25	208.75	33.4	0	0	835	128.26	929.86	112.22	929.86	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240130-0485	2024-01-30	8:36	23:59	27	MES-006	José Antonio López Hernández	2	afternoon	675	225	0	0	18	900	141.12	1023.12	123.48	0	1023.12	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240131-0486	2024-01-31	15:04	22:29	19	MES-037	Carmen Jiménez Ortiz	1	night	426.75	142.25	0	0	11.38	569	89.22	646.84	78.07	0	646.84	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240132-0487	2024-01-32	15:38	19:12	1	MES-036	José Antonio López Hernández	1	afternoon	253.5	84.5	0	0	0	338	54.08	392.08	47.32	392.08	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240133-0488	2024-01-33	21:20	15:24	26	MES-024	Luis Ramírez Torres	1	morning	642	214	34.24	12.84	0	856	129.43	938.35	113.25	938.35	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240134-0489	2024-01-34	7:07	20:18	19	MES-034	José Antonio López Hernández	2	afternoon	208.5	69.5	0	0	5.56	278	43.59	316.03	38.14	0	316.03	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240135-0490	2024-01-35	22:54	20:58	8	MES-023	José Antonio López Hernández	1	night	420.75	140.25	0	8.41	0	561	88.41	641	77.36	641	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240129-0491	2024-01-29	8:58	23:01	11	MES-027	José Antonio López Hernández	4	night	623.25	207.75	0	0	0	831	132.96	963.96	116.34	963.96	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240130-0492	2024-01-30	9:55	8:12	16	MES-023	Pablo Mendoza Romero	2	night	489	163	0	0	0	652	104.32	756.32	91.28	0	756.32	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240131-0493	2024-01-31	15:59	10:17	25	MES-011	José Antonio López Hernández	1	night	298.5	99.5	0	0	0	398	63.68	461.68	55.72	0	461.68	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240132-0494	2024-01-32	21:19	13:47	23	MES-026	Diego Vázquez Castillo	2	night	420	140	22.4	0	11.2	560	84.22	610.62	73.7	0	610.62	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240133-0495	2024-01-33	14:26	17:01	17	MES-006	Sofía Reyes Morales	2	night	218.25	72.75	0	0	0	291	46.56	337.56	40.74	0	337.56	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240134-0496	2024-01-34	18:16	13:24	2	MES-014	José Antonio López Hernández	1	afternoon	525	175	0	0	14	700	109.76	795.76	96.04	795.76	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240135-0497	2024-01-35	21:05	23:27	8	MES-027	Ana Cruz Martínez	3	afternoon	393	131	0	7.86	10.48	524	80.91	586.57	70.79	586.57	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240129-0498	2024-01-29	19:16	8:28	2	MES-027	Sofía Reyes Morales	3	night	663	221	0	13.26	17.68	884	136.49	989.55	119.43	0	989.55	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240130-0499	2024-01-30	12:59	8:18	23	MES-022	Ana Cruz Martínez	4	night	545.25	181.75	0	0	0	727	116.32	843.32	101.78	843.32	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240131-0500	2024-01-31	11:24	18:38	27	MES-017	Pablo Mendoza Romero	2	afternoon	263.25	87.75	0	0	7.02	351	55.04	399.02	48.16	0	399.02	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240132-0501	2024-01-32	20:58	16:10	28	MES-008	Carmen Jiménez Ortiz	3	morning	377.25	125.75	0	0	10.06	503	78.87	571.81	69.01	571.81	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240133-0502	2024-01-33	20:52	11:05	11	MES-002	María Elena Gutiérrez Flores	4	afternoon	612.75	204.25	32.68	0	16.34	817	122.88	890.86	107.52	0	890.86	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240134-0503	2024-01-34	7:52	13:21	1	MES-026	Pablo Mendoza Romero	4	night	253.5	84.5	0	5.07	6.76	338	52.19	378.36	45.66	0	378.36	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240135-0504	2024-01-35	13:03	15:10	13	MES-031	Pablo Mendoza Romero	1	afternoon	623.25	207.75	0	12.47	0	831	130.96	949.49	114.59	0	949.49	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240129-0505	2024-01-29	7:05	21:33	8	MES-006	María Elena Gutiérrez Flores	2	night	90.75	30.25	4.84	0	0	121	18.59	134.75	16.26	0	134.75	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240130-0506	2024-01-30	11:11	19:19	13	MES-031	José Antonio López Hernández	1	afternoon	380.25	126.75	0	7.61	0	507	79.9	579.29	69.91	579.29	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240131-0507	2024-01-31	19:34	18:31	2	MES-039	Ana Cruz Martínez	4	night	297	99	0	0	0	396	63.36	459.36	55.44	0	459.36	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240132-0508	2024-01-32	21:12	8:41	28	MES-038	Sofía Reyes Morales	1	night	592.5	197.5	0	0	0	790	126.4	916.4	110.6	0	916.4	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240133-0509	2024-01-33	7:23	23:52	18	MES-032	María Elena Gutiérrez Flores	3	afternoon	437.25	145.75	0	0	11.66	583	91.41	662.75	79.99	0	662.75	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240134-0510	2024-01-34	22:42	21:41	26	MES-038	Luis Ramírez Torres	3	afternoon	420	140	22.4	0	11.2	560	84.22	610.62	73.7	0	610.62	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240135-0511	2024-01-35	22:49	16:54	18	MES-028	Pablo Mendoza Romero	2	afternoon	179.25	59.75	0	0	4.78	239	37.48	271.7	32.79	271.7	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240129-0512	2024-01-29	11:48	10:17	12	MES-022	Diego Vázquez Castillo	2	afternoon	619.5	206.5	0	0	16.52	826	129.52	939	113.33	939	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240130-0513	2024-01-30	7:24	18:12	1	MES-015	Diego Vázquez Castillo	4	morning	360.75	120.25	0	7.22	9.62	481	74.27	538.43	64.98	538.43	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240131-0514	2024-01-31	8:06	16:14	7	MES-016	María Elena Gutiérrez Flores	4	afternoon	200.25	66.75	0	0	5.34	267	41.87	303.53	36.63	303.53	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240132-0515	2024-01-32	14:42	18:49	14	MES-038	Pablo Mendoza Romero	1	morning	452.25	150.75	0	0	12.06	603	94.55	685.49	82.73	0	685.49	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240133-0516	2024-01-33	8:25	20:19	23	MES-006	María Elena Gutiérrez Flores	4	afternoon	600	200	0	0	0	800	128	928	112	928	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240134-0517	2024-01-34	15:28	10:19	14	MES-004	Pablo Mendoza Romero	3	morning	516.75	172.25	27.56	10.34	0	689	104.18	755.28	91.15	0	755.28	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240135-0518	2024-01-35	8:17	12:56	28	MES-025	María Elena Gutiérrez Flores	3	morning	177	59	9.44	0	0	236	36.25	262.81	31.72	0	262.81	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240129-0519	2024-01-29	11:07	22:40	24	MES-018	Carmen Jiménez Ortiz	2	morning	387.75	129.25	0	0	0	517	82.72	599.72	72.38	599.72	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240130-0520	2024-01-30	21:59	18:17	18	MES-014	Luis Ramírez Torres	2	night	411	137	21.92	8.22	10.96	548	81.1	588	70.97	0	588	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240131-0521	2024-01-31	20:04	17:59	30	MES-023	Carmen Jiménez Ortiz	1	morning	596.25	198.75	31.8	0	15.9	795	119.57	866.87	104.62	0	866.87	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240132-0522	2024-01-32	7:16	18:44	28	MES-018	Carmen Jiménez Ortiz	2	afternoon	445.5	148.5	23.76	8.91	0	594	89.81	651.14	78.59	0	651.14	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240133-0523	2024-01-33	10:01	13:53	28	MES-023	Luis Ramírez Torres	1	afternoon	405	135	0	0	0	540	86.4	626.4	75.6	626.4	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240134-0524	2024-01-34	18:58	8:02	7	MES-005	Carmen Jiménez Ortiz	1	morning	517.5	172.5	27.6	10.35	13.8	690	102.12	740.37	89.36	740.37	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240135-0525	2024-01-35	20:17	21:09	29	MES-015	Diego Vázquez Castillo	2	night	255.75	85.25	13.64	5.12	6.82	341	50.47	365.89	44.16	0	365.89	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240129-0526	2024-01-29	8:59	17:42	8	MES-028	Luis Ramírez Torres	2	morning	123.75	41.25	0	0	3.3	165	25.87	187.57	22.64	187.57	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240130-0527	2024-01-30	9:12	23:11	9	MES-028	José Antonio López Hernández	1	morning	251.25	83.75	0	0	0	335	53.6	388.6	46.9	388.6	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240131-0528	2024-01-31	8:56	19:42	23	MES-003	Carmen Jiménez Ortiz	4	night	337.5	112.5	0	0	9	450	70.56	511.56	61.74	0	511.56	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240132-0529	2024-01-32	7:40	16:55	1	MES-006	María Elena Gutiérrez Flores	1	night	266.25	88.75	0	0	0	355	56.8	411.8	49.7	411.8	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240133-0530	2024-01-33	19:26	16:12	17	MES-001	Luis Ramírez Torres	2	night	494.25	164.75	0	0	13.18	659	103.33	749.15	90.41	749.15	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240134-0531	2024-01-34	19:35	17:25	23	MES-007	Luis Ramírez Torres	1	night	452.25	150.75	0	0	0	603	96.48	699.48	84.42	0	699.48	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240135-0532	2024-01-35	12:00	8:24	10	MES-038	Pablo Mendoza Romero	2	night	402.75	134.25	21.48	0	10.74	537	80.76	585.54	70.67	0	585.54	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240129-0533	2024-01-29	21:22	18:05	8	MES-017	Diego Vázquez Castillo	1	night	663	221	0	13.26	0	884	139.32	1010.06	121.9	0	1010.06	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240130-0534	2024-01-30	12:38	14:34	26	MES-016	Ana Cruz Martínez	2	afternoon	441	147	0	0	11.76	588	92.2	668.44	80.67	668.44	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240131-0535	2024-01-31	14:20	9:44	22	MES-004	José Antonio López Hernández	1	night	665.25	221.75	35.48	0	0	887	136.24	987.76	119.21	0	987.76	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240132-0536	2024-01-32	16:51	14:28	1	MES-033	Carmen Jiménez Ortiz	4	afternoon	427.5	142.5	22.8	8.55	11.4	570	84.36	611.61	73.82	611.61	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240133-0537	2024-01-33	14:04	17:29	8	MES-028	José Antonio López Hernández	1	night	411.75	137.25	0	0	0	549	87.84	636.84	76.86	636.84	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240134-0538	2024-01-34	11:57	13:51	25	MES-020	Carmen Jiménez Ortiz	2	night	379.5	126.5	0	7.59	0	506	79.75	578.16	69.78	578.16	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240135-0539	2024-01-35	16:07	15:42	25	MES-005	Ana Cruz Martínez	1	morning	407.25	135.75	21.72	0	0	543	83.4	604.68	72.98	0	604.68	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240129-0540	2024-01-29	20:14	11:50	20	MES-016	Ana Cruz Martínez	4	night	202.5	67.5	0	4.05	0	270	42.55	308.5	37.23	308.5	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240130-0541	2024-01-30	16:12	18:57	12	MES-035	Pablo Mendoza Romero	1	morning	354	118	0	0	0	472	75.52	547.52	66.08	0	547.52	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240131-0542	2024-01-31	15:31	13:54	29	MES-003	Luis Ramírez Torres	4	afternoon	596.25	198.75	0	11.93	15.9	795	122.75	889.92	107.4	889.92	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240132-0543	2024-01-32	19:26	20:45	29	MES-031	Carmen Jiménez Ortiz	1	afternoon	183.75	61.25	0	0	4.9	245	38.42	278.52	33.61	278.52	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240133-0544	2024-01-33	11:56	8:41	3	MES-030	Luis Ramírez Torres	2	night	408.75	136.25	0	0	10.9	545	85.46	619.56	74.77	0	619.56	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240134-0545	2024-01-34	10:21	16:04	5	MES-001	Pablo Mendoza Romero	4	night	188.25	62.75	0	3.76	5.02	251	38.76	280.98	33.91	0	280.98	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240135-0546	2024-01-35	20:04	21:23	12	MES-003	Ana Cruz Martínez	4	night	516	172	0	10.32	0	688	108.43	786.11	94.88	0	786.11	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240129-0547	2024-01-29	22:52	19:11	23	MES-039	Diego Vázquez Castillo	4	morning	581.25	193.75	0	0	15.5	775	121.52	881.02	106.33	0	881.02	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240130-0548	2024-01-30	8:06	10:43	26	MES-012	Carmen Jiménez Ortiz	4	night	592.5	197.5	0	0	0	790	126.4	916.4	110.6	916.4	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240131-0549	2024-01-31	18:57	11:18	24	MES-024	Carmen Jiménez Ortiz	2	afternoon	315.75	105.25	16.84	6.32	0	421	63.65	461.49	55.7	0	461.49	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240132-0550	2024-01-32	9:41	12:48	13	MES-004	Ana Cruz Martínez	1	night	336.75	112.25	17.96	0	8.98	449	67.53	489.59	59.09	0	489.59	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240133-0551	2024-01-33	13:27	14:13	12	MES-031	Diego Vázquez Castillo	3	afternoon	566.25	188.75	0	0	0	755	120.8	875.8	105.7	875.8	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240134-0552	2024-01-34	9:01	13:33	15	MES-026	José Antonio López Hernández	4	night	491.25	163.75	0	0	0	655	104.8	759.8	91.7	759.8	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240135-0553	2024-01-35	8:43	22:09	27	MES-014	Pablo Mendoza Romero	2	night	193.5	64.5	0	3.87	5.16	258	39.84	288.81	34.86	288.81	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240129-0554	2024-01-29	15:37	12:34	27	MES-020	Diego Vázquez Castillo	1	afternoon	146.25	48.75	7.8	2.93	3.9	195	28.86	209.23	25.25	0	209.23	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240130-0555	2024-01-30	9:56	10:15	22	MES-021	María Elena Gutiérrez Flores	2	morning	468.75	156.25	0	0	12.5	625	98	710.5	85.75	0	710.5	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240131-0556	2024-01-31	21:43	16:51	9	MES-038	Diego Vázquez Castillo	1	morning	478.5	159.5	25.52	0	0	638	98	710.48	85.75	710.48	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240132-0557	2024-01-32	10:09	23:28	29	MES-002	Sofía Reyes Morales	3	morning	219.75	73.25	0	0	5.86	293	45.94	333.08	40.2	333.08	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240133-0558	2024-01-33	17:30	13:43	26	MES-001	Sofía Reyes Morales	1	afternoon	568.5	189.5	0	11.37	15.16	758	117.04	848.51	102.41	0	848.51	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240134-0559	2024-01-34	21:12	8:06	5	MES-038	Ana Cruz Martínez	1	morning	642	214	34.24	0	17.12	856	128.74	933.38	112.65	0	933.38	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240135-0560	2024-01-35	13:17	12:46	30	MES-019	Pablo Mendoza Romero	3	morning	575.25	191.75	30.68	11.51	15.34	767	113.52	822.99	99.33	822.99	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240129-0561	2024-01-29	20:29	21:57	5	MES-025	Carmen Jiménez Ortiz	2	afternoon	255	85	13.6	5.1	0	340	51.41	372.71	44.98	0	372.71	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240130-0562	2024-01-30	12:06	23:36	16	MES-006	Diego Vázquez Castillo	2	morning	367.5	122.5	19.6	0	9.8	490	73.7	534.3	64.48	534.3	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240131-0563	2024-01-31	7:17	19:53	9	MES-002	Carmen Jiménez Ortiz	2	morning	391.5	130.5	20.88	0	0	522	80.18	581.3	70.16	581.3	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240132-0564	2024-01-32	8:34	8:10	14	MES-005	María Elena Gutiérrez Flores	2	afternoon	546	182	29.12	0	0	728	111.82	810.7	97.84	810.7	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240133-0565	2024-01-33	17:28	23:23	24	MES-036	Diego Vázquez Castillo	4	night	333.75	111.25	17.8	0	0	445	68.35	495.55	59.81	0	495.55	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240134-0566	2024-01-34	22:29	13:59	3	MES-004	Diego Vázquez Castillo	1	night	616.5	205.5	32.88	0	0	822	126.26	915.38	110.48	0	915.38	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240135-0567	2024-01-35	21:54	20:54	22	MES-015	José Antonio López Hernández	3	night	174.75	58.25	9.32	3.49	4.66	233	34.48	250.01	30.17	0	250.01	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240129-0568	2024-01-29	19:37	13:10	28	MES-019	Diego Vázquez Castillo	2	night	224.25	74.75	0	4.48	5.98	299	46.17	334.71	40.4	0	334.71	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240130-0569	2024-01-30	18:10	10:38	29	MES-024	Sofía Reyes Morales	1	night	486	162	0	9.72	12.96	648	100.05	725.37	87.54	0	725.37	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240131-0570	2024-01-31	18:51	16:13	2	MES-019	Diego Vázquez Castillo	4	morning	602.25	200.75	0	0	16.06	803	125.91	912.85	110.17	912.85	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240132-0571	2024-01-32	10:13	12:32	25	MES-017	Ana Cruz Martínez	4	afternoon	252.75	84.25	0	0	0	337	53.92	390.92	47.18	0	390.92	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240133-0572	2024-01-33	7:10	8:46	27	MES-040	Sofía Reyes Morales	3	night	540.75	180.25	0	0	14.42	721	113.05	819.63	98.92	0	819.63	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240134-0573	2024-01-34	8:34	23:44	25	MES-018	Carmen Jiménez Ortiz	2	morning	246	82	0	0	0	328	52.48	380.48	45.92	380.48	0	efectivo	FRMX-MB-CDMX-001	dine_in
